conference,url,title,authors,abstract,citations,research_areas
aaai,https://www.aaai.org/ocs/index.php/AAAI/AAAI10/paper/view/1801/1935,Parallel Depth First Proof Number Search,Tomoyuki Kaneko,"The depth first proof number search (df-pn) is an effective and popular algorithm for solving and-or tree problems by using proof and disproof numbers. This paper presents a simple but effective parallelization of the df-pn search algorithm for a shared-memory system. In this parallelization, multiple agents autonomously conduct the df-pn with a shared transposition table. For effective cooperation of agents, virtual proof and disproof numbers are introduced for each node, which is an estimation of future proof and disproof numbers by using the number of agents working on the node's descendants as a possible increase. Experimental results on large checkmate problems in shogi, which is a popular chess variant in Japan, show that reasonable increases in speed were achieved with small overheads in memory.",17,"{'Game Programming': 1, 'Artificial Intelligence': 1}"
aaai,https://www.aaai.org/ocs/index.php/AAAI/AAAI10/paper/view/1594/1936,A First Practical Algorithm for High Levels of Relational Consistency,"Shant Karakashian, Robert J. Woodward, Christopher G. Reeson, Berthe Y. Choueiry, Christian Bessiere","Consistency properties and algorithms for achieving them are at the heart of the success of Constraint Programming. In this paper, we study the relational consistency property R(*,m)C, which is equivalent to m-wise consistency proposed in relational databases. We also define wR(*,m)C, a weaker variant of this property. We propose an algorithm for enforcing these properties on a Constraint Satisfaction Problem by tightening the existing relations and without introducing new ones. We empirically show that wR(*,m)C solves in a backtrack-free manner all the instances of some CSP benchmark classes, thus hinting at the tractability of those classes.",46,{'Constraint Processing': 1}
aaai,https://www.aaai.org/ocs/index.php/AAAI/AAAI10/paper/view/1567/1937,"Dealing with Infinite Loops, Underestimation, and Overestimation of Depth-First Proof-Number Search",Akihiro Kishimoto,"Depth-first proof-number search (df-pn) is powerful AND/OR tree search to solve positions in games. However, df-pn has a notorious problem of infinite loops when applied to domains with repetitions. Df-pn(r) cures it by ignoring proof and disproof numbers that may lead to infinite loops. This paper points out that df-pn(r) has a serious issue of underestimating proof and disproof numbers, while it also suffers from the overestimation problem occurring in directed acyclic graph. It then presents two practical solutions to these problems. While bypassing infinite loops, the threshold controlling algorithm (TCA) solves the underestimation problem by increasing the thresholds of df-pn. The source node detection algorithm (SNDA) detects the cause of overestimation and modifies the computation of proof and disproof numbers. Both TCA and SNDA are implemented on top of df-pn to solve tsume-shogi (checkmating problem in Japanese chess). Results show that df-pn with TCA and SNDA is far superior to df-pn(r). Our tsume-shogi solver is able to solve several difficult positions previously unsolved by any other solvers.",18,"{'Artificial Intelligence': 1, 'Parallel Computing': 1, 'Distributed Computing': 1}"
aaai,https://www.aaai.org/ocs/index.php/AAAI/AAAI10/paper/view/1893/1938,Searching Without a Heuristic: Efficient Use of Abstraction,"Bradford John Larsen, Ethan Burns, Wheeler Ruml, Robert Holte","In problem domains where an informative heuristic evaluation function is not known or not easily computed, abstraction can be used to derive admissible heuristic values. Optimal path lengths in the abstracted problem are consistent heuristic estimates for the original problem. Pattern databases are the traditional method of creating such heuristics, but they exhaustively compute costs for all abstract states and are thus usually appropriate only when all instances share the same single goal state. Hierarchical heuristic search algorithms address these shortcomings by searching for paths in the abstract space on an as-needed basis. However, existing hierarchical algorithms search less efficiently than pattern database constructors: abstract nodes may be expanded many times during the course of a base-level search. We present a novel hierarchical heuristic search algorithm, called Switchback, that uses an alternating direction of search to avoid abstract node re-expansions. This algorithm is simple to implement and demonstrates superior performance to existing hierarchical heuristic search algorithms on several standard benchmarks.",24,"{'Computer Security': 1, 'Program Analysis': 1, 'Abstract Interpretation': 1, 'Fuzz Testing': 1, 'Artificial Intelligence': 2, 'Heuristic search': 1, 'Optimization': 1, 'Model checking': 1, 'Planning': 1, 'artificial intelligence': 1, 'heuristic search': 1, 'automated planning': 1, 'optimization': 1}"
aaai,https://www.aaai.org/ocs/index.php/AAAI/AAAI10/paper/view/1797/1939,A Stronger Consistency for Soft Global Constraints in Weighted Constraint Satisfaction,"Jimmy Lee, K. L. Leung","Weighted Constraint Satisfaction is made practical by powerful consistency techniques, such as AC*, FDAC* and EDAC*, which reduce search space effectively and efficiently during search, but they are designed for only binary and ternary constraints. To allow soft global constraints, usually of high arity, to enjoy the same benefits, Lee and Leung give polynomial time algorithms to enforce generalized AC* (GAC*) and FDAC* (FDGAC*) for projection-safe soft non-binary constraints. Generalizing the stronger EDAC* is less straightforward. In this paper, we first reveal the oscillation problem when enforcing EDAC* on constraints sharing more than one variable. To avoid oscillation, we propose a weak version of EDAC* and generalize it to weak EDGAC* for non-binary constraints. Weak EDGAC* is stronger than FDGAC* and GAC*, but weaker than VAC and soft k-consistency for k > 2. We also show that weak EDGAC* can be enforced in polynomial time for projection-safe constraints. Extensive experimentation confirms the efficiency of our proposal.",24,"{'artificial intelligence': 1, 'constraint programming': 1}"
aaai,https://www.aaai.org/ocs/index.php/AAAI/AAAI10/paper/view/1611/1941,An Efficient Branch-and-Bound Algorithm Based on MaxSAT for the Maximum Clique Problem,"Chu-Min Li, Zhe Quan","State-of-the-art branch-and-bound algorithms for the maximum clique problem (Maxclique) frequently use an upper bound based on a partition P of a graph into independent sets for a maximum clique of the graph, which cannot be very tight for imperfect graphs. In this paper we propose a new encoding from Maxclique into MaxSAT and use MaxSAT technology to improve the upper bound based on the partition P. In this way, the strength of specific algorithms for Maxclique in partitioning a graph and the strength of MaxSAT technology in propositional reasoning are naturally combined to solve Maxclique. Experimental results show that the approach is very effective on hard random graphs and on DIMACS Maxclique benchmarks, and allows to close an open DIMACS problem.",125,{}
aaai,https://www.aaai.org/ocs/index.php/AAAI/AAAI10/paper/view/1876/1942,Understanding the Success of Perfect Information Monte Carlo Sampling in Game Tree Search,"Jeffrey Richard Long, Nathan R. Sturtevant, Michael Buro, Timothy Furtak","Perfect Information Monte Carlo (PIMC) search is a practical technique for playing imperfect information games that are too large to be optimally solved. Although PIMC search has been criticized in the past for its theoretical deficiencies, in practice it has often produced strong results in a variety of domains. In this paper, we set out to resolve this discrepancy. The contributions of the paper are twofold. First, we use synthetic game trees to identify game properties that result in strong or weak performance for PIMC search as compared to an optimal player. Second, we show how these properties can be detected in real games, and demonstrate that they do indeed appear to be good predictors of the strength of PIMC search. Thus, using the tools established in this paper, it should be possible to decide a priori whether PIMC search will be an effective approach to new and unexplored games.",103,"{'Artificial Intelligence': 1, 'Heuristic Search': 1, 'Games': 1}"
aaai,https://www.aaai.org/ocs/index.php/AAAI/AAAI10/paper/view/1855/1944,Filtering Bounded Knapsack Constraints in Expected Sublinear Time,"Yuri Malitsky, Meinolf Sellmann, Radoslaw Szymanek",We present a highly efficient incremental algorithm for propagating bounded knapsack constraints. Our algorithm is based on the sublinear filtering algorithm for binary knapsack constraints by Katriel et al. and achieves similar speed-ups of one to two orders of magnitude when compared with its linear-time counterpart. We also show that the representation of bounded knapsacks as binary knapsacks leads to ineffective filtering behavior. Experiments on standard knapsack benchmarks show that the new algorithm significantly outperforms existing methods for handling bounded knapsack constraints.,10,"{'Artificial Intelligence': 1, 'Constraint Programming': 1, 'Machine Learning': 1, 'Optimization': 1}"
aaai,https://www.aaai.org/ocs/index.php/AAAI/AAAI10/paper/view/1930/1945,Lazy Theta*: Any-Angle Path Planning and Path Length Analysis in 3D,"Alex Nash, Sven Koenig, Craig Tovey","Grids with blocked and unblocked cells are often used to represent continuous 2D and 3D environments in robotics and video games. The shortest paths formed by the edges of 8-neighbor 2D grids can be up to 8% longer than the shortest paths in the continuous environment. Theta* typically finds much shorter paths than that by propagating information along graph edges (to achieve short runtimes) without constraining paths to be formed by graph edges (to find short ""any-angle"" paths). We show in this paper that the shortest paths formed by the edges of 26-neighbor 3D grids can be 13% longer than the shortest paths in the continuous environment, which highlights the need for smart path planning algorithms in 3D. Theta* can be applied to 3D grids in a straight-forward manner, but it performs a line-of-sight check for each unexpanded visible neighbor of each expanded vertex and thus it performs many more line-of-sight checks per expanded vertex on a 26-neighbor 3D grid than on an 8-neighbor 2D grid. We therefore introduce Lazy Theta*, a variant of Theta* which uses lazy evaluation to perform only one line-of-sight check per expanded vertex (but with slightly more expanded vertices). We show experimentally that Lazy Theta* finds paths faster than Theta* on 26-neighbor 3D grids, with one order of magnitude fewer line-of-sight checks and without an increase in path length.",158,"{'Artificial Intelligence': 2, 'Path Planning': 1, 'Heuristic Search': 2, 'Any-angle Path Planning': 1, 'Automated Planning': 1, 'Autonomous Systems': 1, 'Intelligent Agents': 1, 'Algorithms': 1, 'Computational Social Choice': 1, 'Optimization': 1, 'Biology': 1, 'Voting': 1}"
aaai,https://www.aaai.org/ocs/index.php/AAAI/AAAI10/paper/view/1825/1946,Search Space Reduction Using Swamp Hierarchies,"Nir Pochter, Aviv Zohar, Jeffrey S. Rosenschein, Ariel Felner","In various domains, such as computer games, robotics, and transportation networks, shortest paths may need to be found quickly. Search time can be significantly reduced if it is known which parts of the graph include ``swamps''---areas that cannot lie on the only available shortest path, and can thus safely be pruned during search. We introduce an algorithm for detecting hierarchies of swamps, and exploiting them. Experiments support our claims of improved efficiency, showing significant reduction in search time.",47,"{'Artificial Intelligence': 2, 'Algorithmic Game Theory': 1, 'Blockchains': 1, 'Cryptocurrencies': 1, 'Bitcoin': 1, 'Multiagent Systems': 1}"
aaai,https://www.aaai.org/ocs/index.php/AAAI/AAAI10/paper/view/1564/1948,Computing Cost-Optimal Definitely Discriminating Tests,"Anika Schumann, Jinbo Huang, Martin Sachenbacher","The goal of testing is to discriminate between multiple hypotheses about a system - for example, different fault diagnoses - by applying input patterns and verifying or falsifying the hypotheses from the observed outputs. Definitely discriminating tests (DDTs) are those input patterns that are guaranteed to discriminate between different hypotheses of non-deterministic systems. Finding DDTs is important in practice, but can be very expensive. Even more challenging is the problem of finding a DDT that minimizes the cost of the testing process, i.e., an input pattern that can be most cheaply enforced and that is a DDT. This paper addresses both problems. We show how we can transform a given problem into a Boolean structure in decomposable negation normal form (DNNF), and extract from it a Boolean formula whose models correspond to DDTs. This allows us to harness recent advances in both knowledge compilation and satisfiability for efficient and scalable DDT computation in practice. Furthermore, we show how we can generate a DNNF structure compactly encoding all DDTs of the problem and use it to obtain a cost-optimal DDT in time linear in the size of the structure. Experimental results from a real-world application show that our method can compute DDTs in less than 1 second for instances that were previously intractable, and cost-optimal DDTs in less than 20 seconds where previous approaches could not even compute an arbitrary DDT.",4,{'Artificial Intelligence': 1}
aaai,https://www.aaai.org/ocs/index.php/AAAI/AAAI10/paper/view/1781/1949,Latent Class Models for Algorithm Portfolio Methods,"Bryan Silverthorn, Risto Miikkulainen","Different solvers for computationally difficult problems such as satisfiability (SAT) perform best on different instances. Algorithm portfolios exploit this phenomenon by predicting solvers' performance on specific problem instances, then shifting computational resources to the solvers that appear best suited. This paper develops a new approach to the problem of making such performance predictions: natural generative models of solver behavior. Two are proposed, both following from an assumption that problem instances cluster into latent classes: a mixture of multinomial distributions, and a mixture of Dirichlet compound multinomial distributions. The latter model extends the former to capture burstiness, the tendency of solver outcomes to recur. These models are integrated into an algorithm portfolio architecture and used to run standard SAT solvers on competition benchmarks. This approach is found competitive with the most prominent existing portfolio, SATzilla, which relies on domain-specific, hand-selected problem features; the latent class models, in contrast, use minimal domain knowledge. Their success suggests that these models can lead to more powerful and more general algorithm portfolio methods.",53,"{'Machine Learning': 2, 'Natural Language Processing': 1, 'Discrete Optimization': 1, 'Logic': 1, 'Satisfiability': 1, 'Neural Networks': 1, 'Evolutionary Computation': 1, 'Artificial Intelligence': 1, 'Cognitive Science': 1}"
aaai,https://www.aaai.org/ocs/index.php/AAAI/AAAI10/paper/view/1926/1950,Finding Optimal Solutions to Cooperative Pathfinding Problems,Trevor Scott Standley,"In cooperative pathfinding problems, non-interfering paths that bring each agent from its current state to its goal state must be planned for multiple agents. We present the first practical, admissible, and complete algorithm for solving problems of this kind. First, we propose a technique called operator decomposition, which can be used to reduce the branching factors of many search algorithms, including algorithms for cooperative pathfinding. We then show how a type of independence common in instances of cooperative pathfinding problems can be exploited. Next, we take the idea of exploiting independent subproblems further by adding improvements that allow the algorithm to recognize many more cases of such independence. Finally, we show empirically that these techniques drastically improve the performance of the standard admissible algorithm for the cooperative pathfinding problem, and that their combination results in a complete algorithm capable of optimally solving relatively large problems in milliseconds.",314,{'Artificial Intelligence': 1}
